species_key,scientific_name,current_readiness,remaining_candidate_count,conflicting_or_compatible_species,missing_candidate_traits,proposed_discriminator_trait,proposed_value,why_it_discriminates,source_needed,confidence,action,notes
trachypithecus_shortridgei,Trachypithecus shortridgei,needs_one_or_two_discriminators,2,trachypithecus_crepusculus|trachypithecus_shortridgei,primate_face_marking,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
trachypithecus_crepusculus,Trachypithecus crepusculus,needs_one_or_two_discriminators,2,trachypithecus_crepusculus|trachypithecus_shortridgei,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
rusa_unicolor,Rusa unicolor,needs_one_or_two_discriminators,2,rusa_unicolor|capricornis_milneedwardsi,tail_impression|ear_size_impression|horns_or_antlers,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
hylopetes_phayrei,Hylopetes phayrei,needs_one_or_two_discriminators,2,hylopetes_phayrei|eupetaurus_nivamons,tail_impression|tail_shape|ear_size_impression|ear_shape_simple|rodent_tail_type,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
hipposideros_armiger,Hipposideros armiger,needs_one_or_two_discriminators,2,hipposideros_armiger|hipposideros_diadema,time_seen|body_pattern|ear_size_impression|ear_shape_simple|bat_tail_visibility,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
tragulus_kanchil,Tragulus kanchil,needs_one_or_two_discriminators,2,tragulus_kanchil|tragulus_napu,body_size_impression|movement_seen|snout_shape_simple|horns_or_antlers,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
capricornis_rubidus,Capricornis rubidus,needs_one_or_two_discriminators,2,capricornis_rubidus|naemorhedus_cranbrooki,observation_place|leg_foot_appearance,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
peponocephala_electra,Peponocephala electra,needs_one_or_two_discriminators,2,megaptera_novaeangliae|peponocephala_electra,body_size_impression|body_pattern|tail_shape|cetacean_dorsal_fin,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
tupaia_belangeri,Tupaia belangeri,needs_one_or_two_discriminators,2,tupaia_belangeri|dremomys_lokriah,body_pattern|rodent_tail_type,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
petaurista_petaurista,Petaurista petaurista,needs_one_or_two_discriminators,2,petaurista_magnificus|petaurista_petaurista,body_pattern|rodent_tail_type,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
menetes_berdmorei,Menetes berdmorei,needs_one_or_two_discriminators,2,dremomys_pernyi|menetes_berdmorei,tail_shape|snout_shape_simple,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
chiropodomys_gliroides,Chiropodomys gliroides,needs_one_or_two_discriminators,2,chiropodomys_gliroides|chiromyscus_chiropus,primary_color|body_pattern|ear_size_impression|ear_shape_simple,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
lyroderma_lyra,Lyroderma lyra,needs_one_or_two_discriminators,2,megaderma_spasma|lyroderma_lyra,body_pattern,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
naemorhedus_cranbrooki,Naemorhedus cranbrooki,needs_one_or_two_discriminators,2,capricornis_rubidus|naemorhedus_cranbrooki,tail_impression,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
grampus_griseus,Grampus griseus,needs_one_or_two_discriminators,2,grampus_griseus|ziphius_cavirostris,body_pattern,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
steno_bredanensis,Steno bredanensis,needs_one_or_two_discriminators,2,stenella_longirostris|steno_bredanensis,tail_shape,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
galeopterus_variegatus,Galeopterus variegatus,needs_one_or_two_discriminators,2,galeopterus_variegatus|petaurista_caniceps,tail_impression|tail_shape|rodent_tail_type,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
petaurista_elegans,Petaurista elegans,needs_one_or_two_discriminators,2,petaurista_elegans|petaurista_philippensis,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
petaurista_philippensis,Petaurista philippensis,needs_one_or_two_discriminators,2,petaurista_elegans|petaurista_philippensis,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
dremomys_lokriah,Dremomys lokriah,needs_one_or_two_discriminators,2,tupaia_belangeri|dremomys_lokriah,snout_shape_simple,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
dremomys_pernyi,Dremomys pernyi,needs_one_or_two_discriminators,2,dremomys_pernyi|menetes_berdmorei,body_pattern,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
megaderma_spasma,Megaderma spasma,needs_one_or_two_discriminators,2,megaderma_spasma|lyroderma_lyra,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
ziphius_cavirostris,Ziphius cavirostris,needs_one_or_two_discriminators,2,grampus_griseus|ziphius_cavirostris,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
petaurista_magnificus,Petaurista magnificus,needs_one_or_two_discriminators,2,petaurista_magnificus|petaurista_petaurista,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
petaurista_caniceps,Petaurista caniceps,needs_one_or_two_discriminators,2,galeopterus_variegatus|petaurista_caniceps,ear_size_impression|snout_shape_simple,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
tragulus_napu,Tragulus napu,needs_one_or_two_discriminators,2,tragulus_kanchil|tragulus_napu,body_pattern,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
chiromyscus_chiropus,Chiromyscus chiropus,needs_one_or_two_discriminators,2,chiropodomys_gliroides|chiromyscus_chiropus,tail_shape,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
hipposideros_diadema,Hipposideros diadema,needs_one_or_two_discriminators,2,hipposideros_armiger|hipposideros_diadema,body_size_impression,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
megaptera_novaeangliae,Megaptera novaeangliae,needs_one_or_two_discriminators,2,megaptera_novaeangliae|peponocephala_electra,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
eupetaurus_nivamons,Eupetaurus nivamons,needs_one_or_two_discriminators,2,hylopetes_phayrei|eupetaurus_nivamons,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,needs_new_trait_type,
rattus_andamanensis,Rattus andamanensis,needs_one_or_two_discriminators,2,rattus_andamanensis|rattus_norvegicus,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
rattus_norvegicus,Rattus norvegicus,needs_one_or_two_discriminators,2,rattus_andamanensis|rattus_norvegicus,,,,No blank existing trait currently has enough represented candidate variation; likely needs a new observable trait type or preserved ambiguity.,Field-identification or taxonomic reference review,medium,preserve_ambiguity,Exact current profile collision; do not force species-level certainty without a reliable observable discriminator.
