species_key,scientific_name,analysis_readiness,final_status,questions_asked,target_rank,target_score,matches,conflicts,known_answers,unknown_answers,analyzer_questions,failure_reason,question_path
panthera_tigris,Panthera tigris,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=cat_like(known_trait)|body_pattern=striped(known_trait)|body_size_impression=deer_sized(known_trait)
prionodon_linsang,Prionodon linsang,species_ready,complete,8,1,11,5,0,5,3,3,,body_form=unknown(unknown)|movement_seen=unknown(unknown)|body_pattern=banded(known_trait)|body_covering=fur_or_hair(known_trait)|tail_impression=long(known_trait)|observation_place=tree_or_bush(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=yellowish_or_buff(known_trait)
urva_javanica,Urva javanica,species_ready,complete,5,1,7,3,0,3,2,3,,body_form=long_body_short_legs(known_trait)|body_pattern=unknown(unknown)|carnivore_face_marking=unknown(unknown)|primary_color=reddish_or_orange(known_trait)|observation_place=ground(known_trait)
ursus_thibetanus,Ursus thibetanus,species_ready,complete,3,1,9,3,0,3,0,3,,body_form=bear_like(known_trait)|snout_shape_simple=long_narrow(known_trait)|body_pattern=patched(known_trait)
martes_flavigula,Martes flavigula,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=long_body_short_legs(known_trait)|body_pattern=patched(known_trait)|carnivore_face_marking=unknown(unknown)|primary_color=mixed(known_trait)|tail_impression=long(known_trait)
martes_foina,Martes foina,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=long_body_short_legs(known_trait)|body_pattern=patched(known_trait)|carnivore_face_marking=unknown(unknown)|primary_color=brown(known_trait)
arctonyx_collaris,Arctonyx collaris,species_ready,complete,4,1,11,4,0,4,0,3,,body_form=long_body_short_legs(known_trait)|body_pattern=masked(known_trait)|carnivore_face_marking=eye_stripes(known_trait)|tail_impression=short(known_trait)
mustela_strigidorsa,Mustela strigidorsa,species_ready,complete,6,1,11,5,0,5,1,5,,body_form=long_body_short_legs(known_trait)|body_pattern=dorsal_stripe(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=dark_brown(known_trait)|tail_impression=long(known_trait)|observation_place=ground(known_trait)
mustela_sibirica,Mustela sibirica,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=long_body_short_legs(known_trait)|body_pattern=masked(known_trait)|carnivore_face_marking=dark_mask(known_trait)|primary_color=yellowish_or_buff(known_trait)
muntiacus_vaginalis,Muntiacus vaginalis,species_ready,complete,4,1,10,4,0,4,0,4,,body_form=hoofed_like(known_trait)|body_pattern=patched(known_trait)|snout_shape_simple=long_narrow(known_trait)|primary_color=reddish_or_orange(known_trait)
muntiacus_putaoensis,Muntiacus putaoensis,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=hoofed_like(known_trait)|body_pattern=masked(known_trait)|primary_color=yellowish_or_buff(known_trait)
macaca_arctoides,Macaca arctoides,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=monkey_like(known_trait)|primate_face_marking=unknown(unknown)|tail_impression=short(known_trait)|primary_color=dark_brown(known_trait)
dugong_dugon,Dugong dugon,species_ready,complete,3,1,8,3,0,3,0,2,,body_form=dugong_like(known_trait)|primary_color=grey(known_trait)|movement_seen=swimming(known_trait)
hylopetes_alboniger,Hylopetes alboniger,species_ready,complete,3,1,8,3,0,3,0,2,,body_form=gliding_mammal_like(known_trait)|primary_color=grey(known_trait)|movement_seen=gliding(known_trait)
neotetracus_sinensis,Neotetracus sinensis,species_ready,complete,5,1,7,3,0,3,2,3,,body_form=shrew_mole_like(known_trait)|movement_seen=unknown(unknown)|mole_front_feet=unknown(unknown)|primary_color=brown(known_trait)|tail_impression=long(known_trait)
panthera_pardus,Panthera pardus,species_ready,complete,4,1,9,4,0,4,0,3,,body_form=cat_like(known_trait)|body_pattern=spotted(known_trait)|carnivore_tail_marking=rings(known_trait)|primary_color=mixed(known_trait)
viverra_megaspila,Viverra megaspila,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=long_body_short_legs(known_trait)|body_pattern=spotted(known_trait)|snout_shape_simple=long_narrow(known_trait)|primary_color=mixed(known_trait)
viverricula_indica,Viverricula indica,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=long_body_short_legs(known_trait)|body_pattern=mixed(known_trait)|carnivore_face_marking=unknown(unknown)|primary_color=mixed(known_trait)
viverra_zibetha,Viverra zibetha,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=long_body_short_legs(known_trait)|body_pattern=mixed(known_trait)|carnivore_face_marking=unknown(unknown)|primary_color=grey(known_trait)|tail_impression=medium(known_trait)
canis_aureus,Canis aureus,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=dog_like(known_trait)|carnivore_tail_marking=unknown(unknown)|primary_color=yellowish_or_buff(known_trait)|body_pattern=plain(known_trait)
moschus_fuscus,Moschus fuscus,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=hoofed_like(known_trait)|body_pattern=spotted(known_trait)|movement_seen=hopping(known_trait)|primary_color=brown(known_trait)
tragulus_williamsoni,Tragulus williamsoni,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=hoofed_like(known_trait)|body_pattern=patched(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=brown(known_trait)
bos_javanicus,Bos javanicus,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=hoofed_like(known_trait)|body_pattern=patched(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=mixed(known_trait)
naemorhedus_evansi,Naemorhedus evansi,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=hoofed_like(known_trait)|body_pattern=dorsal_stripe(known_trait)|primary_color=brown(known_trait)
macaca_mulatta,Macaca mulatta,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=monkey_like(known_trait)|primate_face_marking=reddish_face(known_trait)|tail_impression=medium(known_trait)
presbytis_femoralis,Presbytis femoralis,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=monkey_like(known_trait)|primate_face_marking=eye_rings(known_trait)|tail_impression=unknown(unknown)|primary_color=black(known_trait)|body_pattern=patched(known_trait)
trachypithecus_obscurus,Trachypithecus obscurus,species_ready,complete,4,1,9,4,0,4,0,4,,body_form=monkey_like(known_trait)|primate_face_marking=eye_rings(known_trait)|tail_impression=very_long(known_trait)|primary_color=mixed(known_trait)
hylobates_lar,Hylobates lar,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=monkey_like(known_trait)|primate_face_marking=white_face_ring(known_trait)|tail_impression=no_obvious_tail(known_trait)
ochotona_thibetana,Ochotona thibetana,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=rabbit_hare_like(known_trait)|primary_color=yellowish_or_buff(known_trait)|tail_impression=no_obvious_tail(known_trait)
petaurista_alborufus,Petaurista alborufus,species_ready,complete,4,1,8,3,0,3,1,3,,body_form=squirrel_like(known_trait)|rodent_tail_type=unknown(unknown)|primary_color=reddish_or_orange(known_trait)|movement_seen=gliding(known_trait)
dremomys_rufigenis,Dremomys rufigenis,species_ready,complete,5,1,10,4,0,4,1,4,,body_form=squirrel_like(known_trait)|rodent_tail_type=unknown(unknown)|primary_color=grey(known_trait)|movement_seen=climbing(known_trait)|tail_impression=short(known_trait)
rhizomys_sinensis,Rhizomys sinensis,species_ready,complete,4,1,8,3,0,3,1,3,,body_form=mouse_rat_like(known_trait)|movement_seen=unknown(unknown)|tail_impression=short(known_trait)|ear_size_impression=not_obvious(known_trait)
echinosorex_gymnura,Echinosorex gymnura,species_ready,complete,5,1,7,3,0,3,2,3,,body_form=shrew_mole_like(known_trait)|movement_seen=unknown(unknown)|mole_front_feet=unknown(unknown)|primary_color=mixed(known_trait)|body_size_impression=rabbit_or_cat_sized(known_trait)
atherurus_macrourus,Atherurus macrourus,species_ready,complete,6,1,7,3,0,3,3,2,,body_form=mouse_rat_like(known_trait)|movement_seen=unknown(unknown)|tail_impression=long(known_trait)|rodent_tail_type=unknown(unknown)|body_pattern=unknown(unknown)|primary_color=dark_brown(known_trait)
hystrix_brachyura,Hystrix brachyura,species_ready,complete,2,1,6,2,0,2,0,2,,body_form=porcupine_like(known_trait)|tail_impression=short(known_trait)
suncus_murinus,Suncus murinus,species_ready,complete,5,1,10,4,0,4,1,3,,body_form=shrew_mole_like(known_trait)|movement_seen=walking_or_running(known_trait)|tail_impression=unknown(unknown)|primary_color=mixed(known_trait)|body_size_impression=mouse_or_smaller(known_trait)
chimarrogale_himalayica,Chimarrogale himalayica,species_ready,complete,4,1,10,4,0,4,0,4,,body_form=shrew_mole_like(known_trait)|movement_seen=swimming(known_trait)|primary_color=grey(known_trait)|ear_size_impression=small(known_trait)
suncus_etruscus,Suncus etruscus,species_ready,complete,5,1,7,3,0,3,2,3,,body_form=shrew_mole_like(known_trait)|movement_seen=unknown(unknown)|mole_front_feet=unknown(unknown)|primary_color=grey(known_trait)|ear_size_impression=large(known_trait)
megaerops_niphanae,Megaerops niphanae,species_ready,complete,6,1,12,5,0,5,1,3,,body_form=bat_like(known_trait)|bat_nose_shape=unknown(unknown)|bat_tail_visibility=tail_within_membrane(known_trait)|body_pattern=plain(known_trait)|snout_shape_simple=short_blunt(known_trait)|primary_color=grey(known_trait)
cynopterus_sphinx,Cynopterus sphinx,species_ready,complete,6,1,12,5,0,5,1,5,,body_form=bat_like(known_trait)|bat_nose_shape=unknown(unknown)|bat_tail_visibility=tail_tip_beyond_membrane(known_trait)|primary_color=reddish_or_orange(known_trait)|snout_shape_simple=long_narrow(known_trait)|body_pattern=plain(known_trait)
catopuma_temminckii,Catopuma temminckii,species_ready,complete,4,1,9,4,0,4,0,4,,body_form=cat_like(known_trait)|body_pattern=plain(known_trait)|tail_impression=long(known_trait)|primary_color=mixed(known_trait)
felis_chaus,Felis chaus,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=cat_like(known_trait)|body_pattern=plain(known_trait)|tail_impression=short(known_trait)
prionailurus_bengalensis,Prionailurus bengalensis,species_ready,complete,5,1,12,5,0,5,0,5,,body_form=cat_like(known_trait)|body_pattern=spotted(known_trait)|carnivore_tail_marking=rings(known_trait)|primary_color=yellowish_or_buff(known_trait)|snout_shape_simple=short_blunt(known_trait)
arctogalidia_trivirgata,Arctogalidia trivirgata,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=long_body_short_legs(known_trait)|body_pattern=striped(known_trait)|primary_color=mixed(known_trait)
hemigalus_derbyanus,Hemigalus derbyanus,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=long_body_short_legs(known_trait)|body_pattern=banded(known_trait)|snout_shape_simple=long_narrow(known_trait)|primary_color=mixed(known_trait)
melogale_personata,Melogale personata,species_ready,complete,4,1,7,3,0,3,1,3,,body_form=long_body_short_legs(known_trait)|body_pattern=dorsal_stripe(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=mixed(known_trait)
lutra_sumatrana,Lutra sumatrana,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=long_body_short_legs(known_trait)|body_pattern=patched(known_trait)|carnivore_face_marking=unknown(unknown)|primary_color=dark_brown(known_trait)|tail_shape=thin(known_trait)
mustela_kathiah,Mustela kathiah,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=long_body_short_legs(known_trait)|body_pattern=patched(known_trait)|carnivore_face_marking=unknown(unknown)|primary_color=dark_brown(known_trait)|tail_shape=bushy(known_trait)
dicerorhinus_sumatrensis,Dicerorhinus sumatrensis,species_ready,complete,4,1,8,3,0,3,1,3,,body_form=rhino_like(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=reddish_or_orange(known_trait)|movement_seen=walking_or_running(known_trait)
rucervus_eldii,Rucervus eldii,species_ready,complete,4,1,9,4,0,4,0,4,,body_form=hoofed_like(known_trait)|body_pattern=plain(known_trait)|body_size_impression=deer_sized(known_trait)|primary_color=brown(known_trait)
naemorhedus_griseus,Naemorhedus griseus,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=hoofed_like(known_trait)|body_pattern=dorsal_stripe(known_trait)|primary_color=grey(known_trait)
globicephala_macrorhynchus,Globicephala macrorhynchus,species_ready,complete,4,1,11,4,0,4,0,3,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=rounded_low(known_trait)|cetacean_color_pattern=saddle_patch(known_trait)|primary_color=black(known_trait)
feresa_attenuata,Feresa attenuata,species_ready,complete,5,1,14,5,0,5,0,4,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=tall(known_trait)|cetacean_color_pattern=light_belly(known_trait)|cetacean_beak=no_distinct_beak(known_trait)|primary_color=black(known_trait)
pseudorca_crassidens,Pseudorca crassidens,species_ready,complete,6,1,18,6,0,6,0,4,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=curved_back(known_trait)|cetacean_beak=no_distinct_beak(known_trait)|cetacean_color_pattern=light_belly(known_trait)|body_covering=mostly_smooth_skin(known_trait)|primary_color=black(known_trait)
sousa_chinensis,Sousa chinensis,species_ready,complete,6,1,18,6,0,6,0,2,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=small(known_trait)|cetacean_color_pattern=mottled(known_trait)|cetacean_beak=obvious_long_beak(known_trait)|body_covering=mostly_smooth_skin(known_trait)|primary_color=white_or_cream(known_trait)
neophocaena_phocaenoides,Neophocaena phocaenoides,species_ready,complete,4,1,13,4,0,4,0,4,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=none_visible(known_trait)|cetacean_color_pattern=light_belly(known_trait)|cetacean_beak=no_distinct_beak(known_trait)
kogia_sima,Kogia sima,species_ready,complete,6,1,19,6,0,6,0,5,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=small(known_trait)|cetacean_color_pattern=light_belly(known_trait)|cetacean_beak=no_distinct_beak(known_trait)|body_covering=mostly_smooth_skin(known_trait)|observation_place=sea_or_coast(known_trait)
kogia_breviceps,Kogia breviceps,species_ready,complete,5,1,14,5,0,5,0,4,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=rounded_low(known_trait)|cetacean_color_pattern=light_belly(known_trait)|cetacean_beak=no_distinct_beak(known_trait)|primary_color=grey(known_trait)
stenella_attenuata,Stenella attenuata,species_ready,complete,6,1,14,5,0,5,1,2,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=unknown(unknown)|cetacean_color_pattern=mottled(known_trait)|cetacean_beak=obvious_long_beak(known_trait)|body_covering=mostly_smooth_skin(known_trait)|primary_color=mixed(known_trait)
macaca_fascicularis,Macaca fascicularis,species_ready,complete,4,1,9,4,0,4,0,3,,body_form=monkey_like(known_trait)|primate_face_marking=cheek_whiskers(known_trait)|tail_impression=very_long(known_trait)|primary_color=mixed(known_trait)
hoolock_leuconedys,Hoolock leuconedys,species_ready,complete,4,1,12,4,0,4,0,4,,body_form=monkey_like(known_trait)|primate_face_marking=mixed(known_trait)|primate_brow_pattern=two_separate_brows(known_trait)|tail_impression=no_obvious_tail(known_trait)
hoolock_hoolock,Hoolock hoolock,species_ready,complete,4,1,12,4,0,4,0,4,,body_form=monkey_like(known_trait)|primate_face_marking=mixed(known_trait)|primate_brow_pattern=connected_or_nearly_connected(known_trait)|tail_impression=no_obvious_tail(known_trait)
hoolock_tianxing,Hoolock tianxing,species_ready,complete,4,1,12,4,0,4,0,4,,body_form=monkey_like(known_trait)|primate_face_marking=mixed(known_trait)|primate_brow_pattern=thin_separate_wide_gap(known_trait)|tail_impression=no_obvious_tail(known_trait)
hylopetes_spadiceus,Hylopetes spadiceus,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=gliding_mammal_like(known_trait)|primary_color=dark_brown(known_trait)|tail_shape=flattened(known_trait)
chimarrogale_styani,Chimarrogale styani,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=shrew_mole_like(known_trait)|movement_seen=swimming(known_trait)|primary_color=dark_brown(known_trait)
nectogale_elegans,Nectogale elegans,species_ready,complete,4,1,10,4,0,4,0,4,,body_form=shrew_mole_like(known_trait)|movement_seen=swimming(known_trait)|primary_color=grey(known_trait)|ear_size_impression=not_obvious(known_trait)
cynopterus_brachyotis,Cynopterus brachyotis,species_ready,complete,6,1,16,6,0,6,0,4,,body_form=bat_like(known_trait)|bat_nose_shape=plain(known_trait)|bat_tail_visibility=tail_visible(known_trait)|body_pattern=plain(known_trait)|snout_shape_simple=long_narrow(known_trait)|primary_color=brown(known_trait)
pteropus_vampyrus,Pteropus vampyrus,species_ready,complete,5,1,8,3,0,3,2,3,,body_form=bat_like(known_trait)|bat_nose_shape=unknown(unknown)|bat_tail_visibility=unknown(unknown)|primary_color=dark_brown(known_trait)|snout_shape_simple=long_pointed(known_trait)
sphaerias_blanfordi,Sphaerias blanfordi,species_ready,complete,5,1,10,4,0,4,1,3,,body_form=bat_like(known_trait)|bat_nose_shape=unknown(unknown)|bat_tail_visibility=no_tail_visible(known_trait)|primary_color=dark_brown(known_trait)|snout_shape_simple=short_blunt(known_trait)
pteropus_hypomelanus,Pteropus hypomelanus,species_ready,complete,5,1,9,4,0,4,1,4,,body_form=bat_like(known_trait)|bat_nose_shape=unknown(unknown)|bat_tail_visibility=no_tail_visible(known_trait)|primary_color=brown(known_trait)|body_size_impression=rabbit_or_cat_sized(known_trait)
rhinolophus_trifoliatus,Rhinolophus trifoliatus,species_ready,complete,5,1,11,4,0,4,1,3,,body_form=bat_like(known_trait)|bat_nose_shape=horseshoe_like(known_trait)|bat_tail_visibility=tail_tip_beyond_membrane(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=grey(known_trait)
scotomanes_ornatus,Scotomanes ornatus,species_ready,complete,7,1,13,5,0,5,2,4,,body_form=bat_like(known_trait)|bat_nose_shape=plain(known_trait)|bat_tail_visibility=unknown(unknown)|body_pattern=mixed(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=reddish_or_orange(known_trait)|ear_size_impression=medium(known_trait)
arctictis_binturong,Arctictis binturong,species_ready,complete,5,1,7,3,0,3,2,2,,body_form=long_body_short_legs(known_trait)|body_pattern=unknown(unknown)|carnivore_face_marking=unknown(unknown)|primary_color=black(known_trait)|tail_impression=very_long(known_trait)
paradoxurus_musangus,Paradoxurus musangus,species_ready,complete,6,1,15,6,0,6,0,3,,body_form=long_body_short_legs(known_trait)|body_pattern=mixed(known_trait)|carnivore_face_marking=dark_mask(known_trait)|tail_impression=long(known_trait)|primary_color=dark_brown(known_trait)|movement_seen=climbing(known_trait)
urva_auropunctata,Urva auropunctata,species_ready,complete,7,1,8,4,0,4,3,4,,body_form=long_body_short_legs(known_trait)|body_pattern=unknown(unknown)|carnivore_face_marking=unknown(unknown)|primary_color=grey(known_trait)|carnivore_tail_marking=unknown(unknown)|tail_impression=long(known_trait)|time_seen=day(known_trait)
vulpes_vulpes,Vulpes vulpes,species_ready,complete,4,1,8,3,0,3,1,3,,body_form=dog_like(known_trait)|carnivore_tail_marking=unknown(unknown)|primary_color=reddish_or_orange(known_trait)|snout_shape_simple=long_pointed(known_trait)
lutrogale_perspicillata,Lutrogale perspicillata,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=long_body_short_legs(known_trait)|body_pattern=plain(known_trait)|movement_seen=swimming(known_trait)|primary_color=brown(known_trait)
lutra_lutra,Lutra lutra,species_ready,complete,7,1,11,5,0,5,2,4,,body_form=long_body_short_legs(known_trait)|body_pattern=unknown(unknown)|carnivore_face_marking=unknown(unknown)|primary_color=dark_brown(known_trait)|observation_place=freshwater_or_wetland(known_trait)|body_size_impression=dog_sized(known_trait)|tail_shape=thick(known_trait)
rhinoceros_sondaicus,Rhinoceros sondaicus,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=rhino_like(known_trait)|snout_shape_simple=long_pointed(known_trait)|body_pattern=plain(known_trait)|primary_color=grey(known_trait)
muntiacus_feae,Muntiacus feae,species_ready,complete,4,1,9,4,0,4,0,4,,body_form=hoofed_like(known_trait)|body_pattern=plain(known_trait)|body_size_impression=dog_sized(known_trait)|primary_color=brown(known_trait)
pseudois_nayaur,Pseudois nayaur,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=hoofed_like(known_trait)|body_pattern=striped(known_trait)|primary_color=grey(known_trait)
orcaella_brevirostris,Orcaella brevirostris,species_ready,complete,6,1,19,6,0,6,0,2,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=small(known_trait)|cetacean_color_pattern=light_belly(known_trait)|cetacean_beak=no_distinct_beak(known_trait)|body_covering=mostly_smooth_skin(known_trait)|observation_place=freshwater_or_wetland(known_trait)
stenella_coeruleoalba,Stenella coeruleoalba,species_ready,complete,4,1,11,4,0,4,0,3,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=tall(known_trait)|cetacean_color_pattern=striped(known_trait)|primary_color=grey(known_trait)
nycticebus_bengalensis,Nycticebus bengalensis,species_ready,complete,4,1,10,4,0,4,0,4,,body_form=monkey_like(known_trait)|primate_face_marking=eye_rings(known_trait)|tail_impression=no_obvious_tail(known_trait)|body_pattern=dorsal_stripe(known_trait)
lepus_peguensis,Lepus peguensis,species_ready,complete,3,1,8,3,0,3,0,2,,body_form=rabbit_hare_like(known_trait)|primary_color=brown(known_trait)|movement_seen=hopping(known_trait)
tamiops_mcclellandii,Tamiops mcclellandii,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=squirrel_like(known_trait)|rodent_tail_type=furry_not_bushy(known_trait)|primary_color=brown(known_trait)
cannomys_badius,Cannomys badius,species_ready,complete,5,1,14,5,0,5,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|tail_impression=short(known_trait)|ear_size_impression=small(known_trait)
maxomys_surifer,Maxomys surifer,species_ready,complete,6,1,16,6,0,6,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|body_pattern=patched(known_trait)|leg_foot_appearance=small_rodent_like_feet(known_trait)|primary_color=reddish_or_orange(known_trait)
vandeleuria_oleracea,Vandeleuria oleracea,species_ready,complete,7,1,17,7,0,7,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=climbing(known_trait)|rodent_tail_type=furry_not_bushy(known_trait)|tail_impression=very_long(known_trait)|body_pattern=plain(known_trait)|primary_color=reddish_or_orange(known_trait)|tail_shape=thin(known_trait)
niviventer_fulvescens,Niviventer fulvescens,species_ready,complete,4,1,12,4,0,4,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=furry_not_bushy(known_trait)|tail_impression=very_long(known_trait)
anourosorex_squamipes,Anourosorex squamipes,species_ready,complete,5,1,10,4,0,4,1,4,,body_form=shrew_mole_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|mole_front_feet=unknown(unknown)|tail_impression=short(known_trait)|primary_color=grey(known_trait)
rousettus_leschenaultii,Rousettus leschenaultii,species_ready,complete,7,1,16,6,0,6,1,4,,body_form=bat_like(known_trait)|bat_nose_shape=plain(known_trait)|bat_tail_visibility=tail_tip_beyond_membrane(known_trait)|snout_shape_simple=long_narrow(known_trait)|body_pattern=unknown(unknown)|ear_size_impression=large(known_trait)|primary_color=brown(known_trait)
eonycteris_spelaea,Eonycteris spelaea,species_ready,complete,6,1,16,6,0,6,0,3,,body_form=bat_like(known_trait)|bat_nose_shape=plain(known_trait)|bat_tail_visibility=tail_tip_beyond_membrane(known_trait)|snout_shape_simple=long_narrow(known_trait)|body_pattern=plain(known_trait)|primary_color=dark_brown(known_trait)
rousettus_amplexicaudatus,Rousettus amplexicaudatus,species_ready,complete,6,1,13,5,0,5,1,3,,body_form=bat_like(known_trait)|bat_nose_shape=plain(known_trait)|bat_tail_visibility=tail_visible(known_trait)|body_pattern=plain(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=grey(known_trait)
